"","rnk"
"MIR4432HG",3.59386455394763
"GALNTL5",3.59296244172206
"MUC16",3.59292846011117
"PHF21B",3.59212519002596
"ENSG00000217801",3.59117430987891
"TPTE",3.58680869424054
"LINC02028",3.58678327391661
"TDRG1",3.5852910709272
"SLC16A6",3.58171576375314
"ENSG00000265798",3.58144653976396
"ARG1",3.57997479688555
"ENSG00000274895",3.57763756605192
"RPL37",3.57679533643471
"CNR2",3.57649563279362
"ENSG00000173727",3.57583773890564
"AMER3",3.57403319871268
"ENSG00000286033",3.57161833822108
"WNT10B",3.57055880951928
"ENSG00000234156",3.57012084806075
"ENSG00000225889",3.57008320194389
"PLD4",3.56950397096627
"MYO18B-AS1",3.56727504940045
"ALOX12B",3.56640310029086
"FMO9P",3.56316686282569
"LINC01709",3.5604383936406
"ENSG00000280118",3.5601108229797
"GLI1",3.55894687737256
"TDRD1",3.55866911361505
"IGHV3-11",3.55576743370586
"SLC3A2",3.55434050865431
"DIRC3-AS1",3.55330227268654
"SLC6A17-AS1",3.55262761574679
"RIMS2",3.54955105704525
"ENSG00000261261",3.54942771369257
"ENSG00000214614",3.54657162186128
"ATP1A4",3.54179314239047
"DMBT1",3.53991715617478
"ENSG00000266014",3.53983435940959
"D21S2088E",3.53815948181825
"MAGEA3",3.5354061643329
"EI24P3",3.5352555283221
"ENSG00000229976",3.53107530573724
"SEPTIN12",3.53079557858491
"LINC02371",3.52920878982322
"IGHV3-49",3.52664618040012
"DARS1-AS1",3.52469421403904
"DIO2-AS1",3.52415661689372
"OR4D9",3.51760965876187
"USH2A",3.51589733322355
"KRT42P",3.50973653543123
"ROCK1P1",3.5082544436633
"ASTL",3.50677374658517
"MAS1",3.50488143709684
"CDH13",3.50069384589773
"APOBR",3.49971306513077
"WT1",3.4980213195296
"CDH15",3.49710942389772
"ENSG00000235277",3.49639942684554
"SERPINB4",3.494857999787
"PPM1B-DT",3.49198096849559
"ENSG00000288839",3.49195353084884
"LINC02177",3.48970945868516
"CNTFR-AS1",3.48951405519045
"LINC01640",3.48832886484681
"ENSG00000288957",3.48752826211409
"MUCL1",3.48433559942316
"PIWIL2",3.48264389715778
"ENSG00000176349",3.48157009911924
"NGLY1",3.48131903518155
"VN1R48P",3.47819957943329
"LINC01968",3.47761620559716
"OR6N2",3.47640019714727
"DGKI",3.47621661744407
"LINC02046",3.47613300503406
"OR10A2",3.4759125148594
"ENSG00000254242",3.47297259874116
"ENSG00000287687",3.47157659224056
"ENSG00000225678",3.46964786606997
"PDYN-AS1",3.46934757120766
"SLC25A48",3.46840822122675
"MYO1H",3.46498164646349
"FAM178B",3.46496925675607
"OR2T7",3.45975775872805
"STAR",3.4560394881314
"ENSG00000279036",3.4513306610685
"TOMM7",3.45034144872984
"THCAT155",3.45015099694423
"PPM1F-AS1",3.44770099233538
"ENSG00000286538",3.44742080693464
"ENSG00000285684",3.44372385761638
"DCAF8L2",3.44367127916983
"RELT",3.44314358624936
"CAMK4",3.44165405398973
"SPATA22",3.43777819768465
"GDNF-AS1",3.43745692288947
"NLRP5",3.43662064547212
"ADAMTS7P1",3.43629913374827
"LINC01681",3.43590933259595
"LINC01309",3.43109258082071
"TMEM235",3.43066874894501
"TAFA3",3.42819680691283
"ENSG00000253281",3.42734669428806
"ENSG00000286215",3.42693589753188
"BPIFB4",3.4263317545778
"PSG6",3.4259192253766
"ZP4",3.42581846291472
"CAMK2B",3.4238884801423
"PLPP4",3.42022496031826
"ENSG00000286502",3.41952198287428
"PADI3",3.41720590100134
"ZRANB2-DT",3.41574195448912
"STMN4",3.41525793778865
"MYH4",3.41514428831563
"ENSG00000227733",3.41366522964637
"LINC02645",3.41360063161346
"LINC01837",3.41135883010529
"ENSG00000250274",3.41081431699099
"VASH2",3.41081036351424
"LINC01505",3.41018040168947
"ENSG00000234352",3.40977966123931
"ENSG00000229727",3.40860215512851
"TYRO3",3.40538135539765
"MIR3681HG",3.40415479208177
"PRDM9",3.40164958816837
"IL19",3.39680004708675
"NUP210L",3.39196697330446
"ENSG00000287983",3.38566577825705
"ENSG00000287661",3.38538987297696
"LINC02822",3.3848136303409
"ZP2",3.38393052333465
"GRM4",3.3828357972118
"LINC01343",3.38200672571028
"ENSG00000261466",3.38192080592165
"C1QTNF1",3.38066893129175
"LINC00350",3.37682312389203
"LINC02930",3.37648015812229
"ENSG00000267886",3.37589985417649
"CYP4F8",3.37495954247067
"HOXA11",3.37462150048265
"ENSG00000267568",3.37365670788291
"PASD1",3.37067625737409
"LINC01097",3.36809853710335
"IGHG1",3.36742569842867
"TTC24",3.36729859409349
"ARPP21",3.36372122962331
"LINC02232",3.3631805396769
"LY6K",3.35942195712359
"PSG3",3.35854451215442
"KASH5",3.35625556495759
"FAM170B-AS1",3.35464265123203
"SLAMF9",3.35460674953049
